Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"GATA4","GATA Binding Protein 4","Protein Coding","P43694","62","GC08P011676","3.24776983261108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA4"
"WDR35","WD Repeat Domain 35","Protein Coding","Q9P2L0","52","GC02M019910","3.24562859535217","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR35"
"LOC122094844","Sharpr-MPRA Regulatory Region 5730","Functional Element","","2","GC01P065617","3.2419536113739","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC122094844"
"GTF2I","General Transcription Factor IIi","Protein Coding","P78347","53","GC07P088496","3.24097061157227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2I"
"GJA5","Gap Junction Protein Alpha 5","Protein Coding","P36382","58","GC01M147756","3.236159324646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJA5"
"PAX5","Paired Box 5","Protein Coding","Q02548","59","GC09M037064","3.23535442352295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX5"
"CNTNAP2","Contactin Associated Protein 2","Protein Coding","Q9UHC6","58","GC07P146116","3.23341250419617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTNAP2"
"PON2","Paraoxonase 2","Protein Coding","Q15165","56","GC07M095404","3.22751379013062","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON2"
"KCNA1","Potassium Voltage-Gated Channel Subfamily A Member 1","Protein Coding","Q09470","58","GC12P042065","3.22682571411133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNA1"
"CLDN14","Claudin 14","Protein Coding","O95500","54","GC21M036460","3.22682571411133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN14"
"KIF14","Kinesin Family Member 14","Protein Coding","Q15058","53","GC01M200551","3.22682571411133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF14"
"SAA1","Serum Amyloid A1","Protein Coding","P0DJI8","51","GC11P019258","3.21368598937988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAA1"
"SPARC","Secreted Protein Acidic And Cysteine Rich","Protein Coding","P09486","62","GC05M151661","3.21249890327454","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPARC"
"PTCH1","Patched 1","Protein Coding","Q13635","64","GC09M095442","3.21062088012695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCH1"
"LGALS3","Galectin 3","Protein Coding","P17931","58","GC14P055124","3.21026611328125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS3"
"APOM","Apolipoprotein M","Protein Coding","O95445","52","GC06P144771","3.20958352088928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOM"
"CX3CR1","C-X3-C Motif Chemokine Receptor 1","Protein Coding","P49238","56","GC03M039279","3.20648694038391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CX3CR1"
"TMEM43","Transmembrane Protein 43","Protein Coding","Q9BTV4","55","GC03P022877","3.20603203773499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM43"
"APOL1","Apolipoprotein L1","Protein Coding","O14791","56","GC22P036253","3.20408391952515","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOL1"
"ALPP","Alkaline Phosphatase, Placental","Protein Coding","P05187","56","GC02P232378","3.19977903366089","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPP"
"COL3A1","Collagen Type III Alpha 1 Chain","Protein Coding","P02461","61","GC02P188974","3.19742822647095","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL3A1"
"LIPG","Lipase G, Endothelial Type","Protein Coding","Q9Y5X9","55","GC18P049560","3.19624829292297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPG"
"NXNL1","Nucleoredoxin Like 1","Protein Coding","Q96CM4","46","GC19M017455","3.19392824172974","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NXNL1"
"ACTN4","Actinin Alpha 4","Protein Coding","O43707","60","GC19P038647","3.19350361824036","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN4"
"HLA-DQB1","Major Histocompatibility Complex, Class II, DQ Beta 1","Protein Coding","P01920","55","GC06M097169","3.19309782981873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1"
"CYBB","Cytochrome B-245 Beta Chain","Protein Coding","P04839","62","GC0XP037780","3.18890261650085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYBB"
"RAB4B-EGLN2","RAB4B-EGLN2 Readthrough (NMD Candidate)","RNA Gene","","20","GC19P040778","3.1845715045929","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB4B-EGLN2"
"FSHB","Follicle Stimulating Hormone Subunit Beta","Protein Coding","P01225","56","GC11P030210","3.17938947677612","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSHB"
"GAPDH","Glyceraldehyde-3-Phosphate Dehydrogenase","Protein Coding","P04406","64","GC12P042102","3.1789436340332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAPDH"
"DIP2C","Disco Interacting Protein 2 Homolog C","Protein Coding","Q9Y2E4","47","GC10M000274","3.17809438705444","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIP2C"
"MAX","MYC Associated Factor X","Protein Coding","P61244","59","GC14M065341","3.17616534233093","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAX"
"INS-IGF2","INS-IGF2 Readthrough","Protein Coding","F8WCM5","37","GC11M012584","3.17616534233093","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS-IGF2"
"CCR5","C-C Motif Chemokine Receptor 5","Protein Coding","P51681","60","GC03P059720","3.17497992515564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5"
"TBL2","Transducin Beta Like 2","Protein Coding","Q9Y4P3","51","GC07M074736","3.17455410957336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBL2"
"ANGPTL6","Angiopoietin Like 6","Protein Coding","Q8NI99","50","GC19M010092","3.17435312271118","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL6"
"CLCN5","Chloride Voltage-Gated Channel 5","Protein Coding","P51795","57","GC0XP049922","3.17360711097717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCN5"
"WRN","WRN RecQ Like Helicase","Protein Coding","Q14191","60","GC08P031033","3.17296576499939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRN"
"MIR181C","MicroRNA 181c","RNA Gene","","29","GC19P122492","3.16461801528931","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181C"
"NPY1R","Neuropeptide Y Receptor Y1","Protein Coding","P25929","52","GC04M163323","3.16179966926575","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPY1R"
"MIR98","MicroRNA 98","RNA Gene","","28","GC0XM053836","3.15886998176575","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR98"
"GNA11","G Protein Subunit Alpha 11","Protein Coding","P29992","60","GC19P003094","3.15860724449158","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNA11"
"RHO","Rhodopsin","Protein Coding","P08100","60","GC03P140025","3.15744853019714","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHO"
"MIR148B","MicroRNA 148b","RNA Gene","","30","GC12P054337","3.15717363357544","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR148B"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","P01589","63","GC10M006010","3.15690326690674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","","33","GC09P021994","3.15114998817444","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"SCG5","Secretogranin V","Protein Coding","P05408","51","GC15P032641","3.14809155464172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCG5"
"PKD2","Polycystin 2, Transient Receptor Potential Cation Channel","Protein Coding","Q13563","60","GC04P088007","3.1476788520813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKD2"
"NEUROG3","Neurogenin 3","Protein Coding","Q9Y4Z2","52","GC10M069571","3.14426350593567","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEUROG3"
"MACORIS","Macrophage Enriched LincRNA Repressor Of IFN-Gamma Signaling","RNA Gene","","13","GC10M036068","3.14349436759949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MACORIS"
"NODAL","Nodal Growth Differentiation Factor","Protein Coding","Q96S42","55","GC10M070431","3.1429169178009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NODAL"
"NRAS","NRAS Proto-Oncogene, GTPase","Protein Coding","P01111","63","GC01M114704","3.13959527015686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS"
"HMGCR","3-Hydroxy-3-Methylglutaryl-CoA Reductase","Protein Coding","P04035","61","GC05P075336","3.13593602180481","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCR"
"GRP","Gastrin Releasing Peptide","Protein Coding","P07492","53","GC18P059220","3.13499903678894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRP"
"MIR26B","MicroRNA 26b","RNA Gene","","31","GC02P218402","3.13451981544495","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR26B"
"TLR3","Toll Like Receptor 3","Protein Coding","O15455","64","GC04P186059","3.1315233707428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR3"
"GLI3","GLI Family Zinc Finger 3","Protein Coding","P10071","62","GC07M041960","3.13085722923279","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLI3"
"LINC00261","Long Intergenic Non-Protein Coding RNA 261","RNA Gene","","29","GC20M022529","3.12890625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00261"
"FTOP1","FTO Pseudogene 1","Pseudogene","","11","GC02M042797","3.12630701065063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTOP1"
"ZNF582","Zinc Finger Protein 582","Protein Coding","Q96NG8","43","GC19M056375","3.12611699104309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF582"
"TLR1","Toll Like Receptor 1","Protein Coding","Q15399","61","GC04M038793","3.12214851379395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR1"
"ALMS1-IT1","ALMS1 Intronic Transcript 1","RNA Gene","","21","GC02P073456","3.12115836143494","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALMS1-IT1"
"FAS-AS1","FAS Antisense RNA 1","RNA Gene","","21","GC10M088991","3.11989212036133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS-AS1"
"SLC26A6","Solute Carrier Family 26 Member 6","Protein Coding","Q9BXS9","51","GC03M048625","3.11325740814209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A6"
"CPLANE1","Ciliogenesis And Planar Polarity Effector Complex Subunit 1","Protein Coding","Q9H799","46","GC05M038497","3.11325740814209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPLANE1"
"ACP5","Acid Phosphatase 5, Tartrate Resistant","Protein Coding","P13686","59","GC19M011574","3.11278939247131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP5"
"PHEX","Phosphate Regulating Endopeptidase X-Linked","Protein Coding","P78562","55","GC0XP022032","3.10983657836914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHEX"
"CHGA","Chromogranin A","Protein Coding","P10645","56","GC14P093363","3.10776853561401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHGA"
"MAP3K8","Mitogen-Activated Protein Kinase Kinase Kinase 8","Protein Coding","P41279","59","GC10P030856","3.10705065727234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K8"
"BHMT","Betaine--Homocysteine S-Methyltransferase","Protein Coding","Q93088","55","GC05P079111","3.10047626495361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BHMT"
"CDC123","Cell Division Cycle 123","Protein Coding","O75794","48","GC10P012195","3.09824848175049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC123"
"MIR200C","MicroRNA 200c","RNA Gene","","31","GC12P042128","3.09758543968201","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200C"
"LEPROTL1","Leptin Receptor Overlapping Transcript Like 1","Protein Coding","O95214","40","GC08P030095","3.08880114555359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPROTL1"
"ANGPT1","Angiopoietin 1","Protein Coding","Q15389","58","GC08M107246","3.08539891242981","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT1"
"WNT4","Wnt Family Member 4","Protein Coding","P56705","60","GC01M022190","3.08060359954834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT4"
"USH2A","Usherin","Protein Coding","O75445","51","GC01M215622","3.0804123878479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USH2A"
"KCNJ2","Potassium Inwardly Rectifying Channel Subfamily J Member 2","Protein Coding","P63252","61","GC17P070168","3.07935929298401","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ2"
"BAMBI","BMP And Activin Membrane Bound Inhibitor","Protein Coding","Q13145","56","GC10P029018","3.07754707336426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAMBI"
"IL2","Interleukin 2","Protein Coding","P60568","59","GC04M122451","3.07417249679565","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"STK38L","Serine/Threonine Kinase 38 Like","Protein Coding","Q9Y2H1","52","GC12P027243","3.07068800926208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK38L"
"SNX3","Sorting Nexin 3","Protein Coding","O60493","50","GC06M108211","3.07068800926208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX3"
"CLUAP1","Clusterin Associated Protein 1","Protein Coding","Q96AJ1","47","GC16P095864","3.07068800926208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLUAP1"
"LOC126863139","CDK7 Strongly-Dependent Group 2 Enhancer GRCh37_chr22:37161913-37163112","Functional Element","","8","GC22P077036","3.07068800926208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126863139"
"CALM3","Calmodulin 3","Protein Coding","P0DP25","55","GC19P046601","3.0702908039093","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM3"
"LOC109623489","Insulin Repeat Instability Region","Functional Element","","2","GC11P012318","3.0695629119873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109623489"
"CASC2","Cancer Susceptibility 2","RNA Gene","Q8IU53","35","GC10P118053","3.06807637214661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2"
"MEOX2","Mesenchyme Homeobox 2","Protein Coding","P50222","51","GC07M015617","3.06387281417847","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEOX2"
"HYLS1","HYLS1 Centriolar And Ciliogenesis Associated","Protein Coding","Q96M11","50","GC11P125883","3.06314420700073","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HYLS1"
"MIRLET7A1","MicroRNA Let-7a-1","RNA Gene","","31","GC09P094175","3.06157445907593","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7A1"
"ANGPTL3","Angiopoietin Like 3","Protein Coding","Q9Y5C1","60","GC01P062597","3.05973815917969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL3"
"PBX1","PBX Homeobox 1","Protein Coding","P40424","60","GC01P167803","3.05894064903259","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PBX1"
"EVC2","EvC Ciliary Complex Subunit 2","Protein Coding","Q86UK5","51","GC04M005580","3.05422449111938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EVC2"
"SCNN1G","Sodium Channel Epithelial 1 Subunit Gamma","Protein Coding","P51170","59","GC16P023182","3.04844403266907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCNN1G"
"CKM","Creatine Kinase, M-Type","Protein Coding","P06732","57","GC19M045306","3.04665780067444","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKM"
"IL5","Interleukin 5","Protein Coding","P05113","58","GC05M132541","3.04646611213684","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL5"
"IRAK1","Interleukin 1 Receptor Associated Kinase 1","Protein Coding","P51617","62","GC0XM154010","3.0440354347229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK1"
"PAX8","Paired Box 8","Protein Coding","Q06710","58","GC02M113215","3.04304218292236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX8"
"CSPP1","Centrosome And Spindle Pole Associated Protein 1","Protein Coding","Q1MSJ5","51","GC08P067062","3.04266667366028","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSPP1"
"ATG7","Autophagy Related 7","Protein Coding","O95352","56","GC03P022815","3.04245162010193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG7"
"PRKCZ","Protein Kinase C Zeta","Protein Coding","Q05513","61","GC01P050679","3.04167222976685","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCZ"
"SLC5A5","Solute Carrier Family 5 Member 5","Protein Coding","Q92911","59","GC19P122615","3.04060363769531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A5"
"TSPAN8","Tetraspanin 8","Protein Coding","P19075","50","GC12M071125","3.03688788414001","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN8"
"MIR10B","MicroRNA 10b","RNA Gene","","31","GC02P176150","3.02913856506348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR10B"
"FGF2","Fibroblast Growth Factor 2","Protein Coding","P09038","59","GC04P122826","3.0275137424469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"FCER1A","Fc Epsilon Receptor Ia","Protein Coding","P12319","55","GC01P159283","3.02376437187195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCER1A"
"MIR206","MicroRNA 206","RNA Gene","","29","GC06P052144","3.02165198326111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR206"
"MMP1","Matrix Metallopeptidase 1","Protein Coding","P03956","63","GC11M129720","3.02155733108521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1"
"ABCB1","ATP Binding Cassette Subfamily B Member 1","Protein Coding","P08183","64","GC07M087504","3.01062560081482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","66","GC04P054657","3.00957012176514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"TG","Thyroglobulin","Protein Coding","P01266","58","GC08P132866","3.00591611862183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TG"
"DNAJC30","DnaJ Heat Shock Protein Family (Hsp40) Member C30","Protein Coding","Q96LL9","48","GC07M073680","3.0052592754364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC30"
"RPS3AP49","RPS3A Pseudogene 49","Pseudogene","","9","GC18P060149","3.00458908081055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS3AP49"
"FOXA2","Forkhead Box A2","Protein Coding","Q9Y261","59","GC20M022581","3.00410413742065","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXA2"
"BMIQ16","Chromosome 16p11.2 Deletion Syndrome, 220kb","Genetic Locus","","5","GC16U901374","3.00372099876404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMIQ16"
"FOXM1","Forkhead Box M1","Protein Coding","Q08050","56","GC12M002857","2.99085402488708","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXM1"
"MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","Q02750","67","GC15P066386","2.98914074897766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1"
"EPAS1","Endothelial PAS Domain Protein 1","Protein Coding","Q99814","64","GC02P046293","2.98750710487366","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPAS1"
"PCSK2","Proprotein Convertase Subtilisin/Kexin Type 2","Protein Coding","P16519","56","GC20P017226","2.98391628265381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK2"
"DELEC1","Deleted In Esophageal Cancer 1","RNA Gene","Q9P2X7","33","GC09P126513","2.98202395439148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DELEC1"
"BMP7","Bone Morphogenetic Protein 7","Protein Coding","P18075","60","GC20M057168","2.98119115829468","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP7"
"SHH","Sonic Hedgehog Signaling Molecule","Protein Coding","Q15465","64","GC07M155799","2.97693848609924","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHH"
"ABCA4","ATP Binding Cassette Subfamily A Member 4","Protein Coding","P78363","57","GC01M093992","2.97573018074036","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA4"
"GLI1","GLI Family Zinc Finger 1","Protein Coding","P08151","60","GC12P062068","2.97228050231934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLI1"
"ADAM17","ADAM Metallopeptidase Domain 17","Protein Coding","P78536","64","GC02M009488","2.96900510787964","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17"
"F3","Coagulation Factor III, Tissue Factor","Protein Coding","P13726","58","GC01M094916","2.96822261810303","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3"
"NLRP12","NLR Family Pyrin Domain Containing 12","Protein Coding","P59046","55","GC19M053793","2.96387815475464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP12"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","64","GC18M063123","2.96295475959778","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"ABCG1","ATP Binding Cassette Subfamily G Member 1","Protein Coding","P45844","56","GC21P042199","2.96226644515991","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG1"
"SOX6","SRY-Box Transcription Factor 6","Protein Coding","P35712","56","GC11M015949","2.95885682106018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX6"
"MIR34C","MicroRNA 34c","RNA Gene","","31","GC11P112585","2.95696949958801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34C"
"CD44","CD44 Molecule (IN Blood Group)","Protein Coding","P16070","62","GC11P035139","2.95547795295715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44"
"DGAT2","Diacylglycerol O-Acyltransferase 2","Protein Coding","Q96PD7","55","GC11P075759","2.95265555381775","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGAT2"
"BPTF","Bromodomain PHD Finger Transcription Factor","Protein Coding","Q12830","55","GC17P067825","2.9502067565918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BPTF"
"SLC34A3","Solute Carrier Family 34 Member 3","Protein Coding","Q8N130","55","GC09P144393","2.94954228401184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC34A3"
"TCTN3","Tectonic Family Member 3","Protein Coding","Q6NUS6","52","GC10M095663","2.94954228401184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCTN3"
"FAM20A","FAM20A Golgi Associated Secretory Pathway Pseudokinase","Protein Coding","Q96MK3","51","GC17M068535","2.94954228401184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM20A"
"EVC","EvC Ciliary Complex Subunit 1","Protein Coding","P57679","50","GC04P005827","2.94954228401184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EVC"
"TMEM237","Transmembrane Protein 237","Protein Coding","Q96Q45","50","GC02M201620","2.94954228401184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM237"
"KIAA0586","KIAA0586","Protein Coding","Q9BVV6","47","GC14P058427","2.94954228401184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIAA0586"
"CCNQ","Cyclin Q","Protein Coding","Q8N1B3","45","GC0XM153588","2.94954228401184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNQ"
"RNU6-1","RNA, U6 Small Nuclear 1","RNA Gene","","24","GC15M067839","2.94508576393127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU6-1"
"CYP7A1","Cytochrome P450 Family 7 Subfamily A Member 1","Protein Coding","P22680","55","GC08M058490","2.94429397583008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP7A1"
"WNK1","WNK Lysine Deficient Protein Kinase 1","Protein Coding","Q9H4A3","62","GC12P000769","2.94376182556152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNK1"
"KCNJ1","Potassium Inwardly Rectifying Channel Subfamily J Member 1","Protein Coding","P48048","60","GC11M130597","2.94376182556152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ1"
"WDR72","WD Repeat Domain 72","Protein Coding","Q3MJ13","48","GC15M155248","2.94376182556152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR72"
"OGG1","8-Oxoguanine DNA Glycosylase","Protein Coding","O15527","60","GC03P022757","2.94135332107544","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGG1"
"RPGR","Retinitis Pigmentosa GTPase Regulator","Protein Coding","Q92834","54","GC0XM038269","2.94038367271423","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPGR"
"NDRG4","NDRG Family Member 4","Protein Coding","Q9ULP0","49","GC16P058462","2.93969368934631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDRG4"
"DNAH8","Dynein Axonemal Heavy Chain 8","Protein Coding","Q96JB1","51","GC06P144930","2.9364185333252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH8"
"MIR95","MicroRNA 95","RNA Gene","","27","GC04M008018","2.93291449546814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR95"
"KLK3","Kallikrein Related Peptidase 3","Protein Coding","P07288","60","GC19P050854","2.93235278129578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK3"
"SLC27A4","Solute Carrier Family 27 Member 4","Protein Coding","Q6P1M0","56","GC09P128340","2.93124389648438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC27A4"
"PID1","Phosphotyrosine Interaction Domain Containing 1","Protein Coding","Q7Z2X4","39","GC02M228850","2.92928838729858","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PID1"
"NT5C2","5'-Nucleotidase, Cytosolic II","Protein Coding","P49902","58","GC10M103088","2.92800951004028","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NT5C2"
"BCHE","Butyrylcholinesterase","Protein Coding","P06276","63","GC03M165772","2.92735409736633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCHE"
"PRF1","Perforin 1","Protein Coding","P14222","59","GC10M070597","2.92512154579163","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRF1"
"HRH1","Histamine Receptor H1","Protein Coding","P35367","58","GC03P022814","2.91995787620544","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH1"
"TTN","Titin","Protein Coding","Q8WZ42","60","GC02M178525","2.91040420532227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTN"
"BAG3","BAG Cochaperone 3","Protein Coding","O95817","56","GC10P119651","2.90570187568665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG3"
"PIK3C3","Phosphatidylinositol 3-Kinase Catalytic Subunit Type 3","Protein Coding","Q8NEB9","62","GC18P041955","2.90448951721191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C3"
"MACROD2","Mono-ADP Ribosylhydrolase 2","Protein Coding","A1Z1Q3","47","GC20P013995","2.89780569076538","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MACROD2"
"CMKLR1","Chemerin Chemokine-Like Receptor 1","Protein Coding","Q99788","53","GC12M108288","2.89453816413879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CMKLR1"
